Name,Artist,Album,Genre,Charter,Year,songlength
Ridin' Solo Overchart,Jason Derulo,han solo,banger,VenomWave,12,217669
Я буду ебать,Moreart,TikTok Food Trends,Meme,DeepFriedDVD,202,143270
Clarence Theme Song vGH,Simon Panrucker,N/A,Punk?,Thingerthing,218,67146
BLOODY STREAM (Uncut Version) - JoJo's Bizarre Adventure All Star Battle,Same joke about jojo 40 times lololol,JBA: All Star Battle Soundtrack,video game ost,Creeel,1111,239442
Circus () - Five Nights at Freddy's,Scott Cawthon & Jason Derulo,Five Nights at Freddy's OST,video game ost,Creeel,1337,30849
Cliffs Of Arnold,DeepFriedDVD and Grape Boy,WTF WAS I THINKING?,Meme,God,1776,170553
Snap Back to Reality,JakoborWhatever,Unknown Album,Meme,Bumper3241,1776,29000
Furry Rap,Senzawa,Unknown Album,Meme,Bumper3241,1776,60000
Ocean Man,Ween ft. Green T,Unknown Album,Meme,Bumper3241,1776,480651
"Twinkle, Twinkle, Little Star",Jane Taylor,Children's Keys 01,Children's Music,YARC,1806,38400
Frère Jacques,Jean-Philippe Rameau,Children's Keys 01,Children's Music,YARC,1811,21500
Mary Had a Little Lamb,Sarah Josepha Hale,Children's Keys 01,Children's Music,YARC,1830,32727
Scherzo No. 1,Frédéric Chopin,Classical Keys 01,Classical,YARC,1835,501361
Marche Funèbre,Frédéric Chopin,Classical Keys 01,Classical,YARC,1840,488000
Bridal Chorus,Richard Wagner,Classical Keys 01,Classical,YARC,1850,111769
"Row, Row, Row Your Boat",Eliphalet Oram Lyte,Children's Keys 01,Children's Music,YARC,1881,23551
Rock-a-Bye Baby,Effie I. Canning,Children's Keys 01,Children's Music,YARC,1884,23846
Happy Birthday to You,Patty and Mildred J. Hill,Children's Keys 01,Children's Music,YARC,1893,19285
Entrance of the Gladiators,Julius Fučík,Classical Keys 01,Classical,YARC,1899,280272
Maple Leaf Rag,Scott Joplin,Classical Keys 01,Jazz,YARC,1899,170142
Clair de Lune,Claude Debussy,Classical Keys 01,Classical,YARC,1905,330000
Runnin' Down a Dream,Tom Petty,Full Moon Fever,Classic Rock,Harmonix,1939,258901
McDonald's Beeping Sounds (Extended Edit),McDonald's,food place,metal,Unknown Charter,1940,34160
McDonald's Beeping Sounds (Extended Edit),McDonald's,food place,metal,Unknown Charter,1940,34160
"Cry, Cry, Cry",Johnny Cash,With His Hot and Blue Guitar,Country,Harmonix,1957,146666
Folsom Prison Blues,Johnny Cash,With His Hot and Blue Guitar,Country,Harmonix,1957,164067
I Walk the Line,Johnny Cash,With His Hot and Blue Guitar,Country,Harmonix,1957,153984
