Name,Artist,Album,Genre,Charter,Year,songlength
Lycanthrope,44,When Your Heart Stops Beating,Alternative Rock,Neversoft,2006,240149
Beautiful Disaster,311,Transistor,Surf Rock,Neversoft,1997,241266
Another One Rides the Bus,"""Weird Al"" Yankovic","""Weird Al"" Yankovic",novelty,Unknown Charter,1983,162495
Happy Birthday,"""Weird Al"" Yankovic","""Weird Al"" Yankovic",novelty,Unknown Charter,1983,152920
Eat It,"""Weird Al"" Yankovic",In 3-D,novelty,Unknown Charter,1984,183243
Midnight Star,"""Weird Al"" Yankovic",In 3-D,rock,Unknown Charter,1984,270343
This is The Life,"""Weird Al"" Yankovic",Dare to Be Stupid,jazz,Unknown Charter,1985,189619
Dare To Be Stupid,"""Weird Al"" Yankovic",Dare To Be Stupid,Novelty,Four Neat Guys,1985,216240
Good Enough For Now,"""Weird Al"" Yankovic",Polka Party!,country,Unknown Charter,1986,188999
Addicted to Spuds,"""Weird Al"" Yankovic",Polka Party!,Novelty,Sygenysis + Nunchuck,1986,223867
Christmas at Ground Zero,"""Weird Al"" Yankovic",Polka Party!,novelty,Unknown Charter,1986,189355
One Of Those Days,"""Weird Al"" Yankovic",Polka Party!,poprock,Unknown Charter,1986,191697
You Make Me,"""Weird Al"" Yankovic",Even Worse,alternative,Unknown Charter,1988,190097
Attack of the Radioactive Hamsters from a Planet Near Mars,"""Weird Al"" Yankovic",UHF  Original Motion Picture Soundtrack,novelty,Unknown Charter,1989,212221
Polka Your Eyes Out,"""Weird Al"" Yankovic",Off the Deep End,rock,Unknown Charter,1992,236449
Bohemian Polka,"""Weird Al"" Yankovic",Alapalooza,novelty,Unknown Charter,1993,231355
Waffle King,"""Weird Al"" Yankovic",Alapalooza,poprock,Unknown Charter,1993,272541
Trigger Happy,"""Weird Al"" Yankovic",Off the Deep End,novelty,Unknown Charter,1994,229914
Everything You Know Is Wrong,"""Weird Al"" Yankovic",Bad Hair Day,alternative,Unknown Charter,1996,231497
I'm So Sick Of You,"""Weird Al"" Yankovic",Bad Hair Day,alternative,Unknown Charter,1996,200812
Gump,"""Weird Al"" Yankovic",Bad Hair Day,novelty,Unknown Charter,1996,137043
The Night Santa Went Crazy,"""Weird Al"" Yankovic",Bad Hair Day,Novelty,Youngblood,1996,243687
Albuquerque,"""Weird Al"" Yankovic",Running with Scissors,Novelty,pksage,1999,719350
Polka Power!,"""Weird Al"" Yankovic",Running with Scissors,novelty,Unknown Charter,1999,265423
Genius In France,"""Weird Al"" Yankovic",Poodle Hat,fusion,Unknown Charter,2003,539989
A Complicated Song,"""Weird Al"" Yankovic",Poodle Hat,novelty,Unknown Charter,2003,226842
Hardware Store,"""Weird Al"" Yankovic",Poodle Hat,novelty,Unknown Charter,2003,224339
Why Does This Always Happen To Me,"""Weird Al"" Yankovic",Poodle Hat,rock,Unknown Charter,2003,296568
White & Nerdy,"""Weird Al"" Yankovic",Straight Outta Lynwood,Hip-Hop,Arctan,2006,173370
Trapped in the Drive-Thru,"""Weird Al"" Yankovic",Straight Outta Lynwood,novelty,Unknown Charter,2006,656994
White & Nerdy,"""Weird Al"" Yankovic",Straight Outta Lynwood,novelty,Unknown Charter,2006,179750
If That Isn't Love,"""Weird Al"" Yankovic",Alpocalypse,novelty,Unknown Charter,2011,235651
My Own Eyes,"""Weird Al"" Yankovic",Mandatory Fun,novelty,Unknown Charter,2014,225835
Caught Up in You,.38 Special,Special Forces,southernrock,Unknown Charter,1982,294865
Five More Hours (Risitas Remix),18-25,NFSMW Pepega Edition Soundtrack Mix,Electro KEKW,Matharu,2017,133761
Masters of Morbidity,200 Stab Wounds,Masters of Morbidity,metal,"Harmonix, Rhythm Authors",2022,266629
CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,hiphoprap,"Harmonix, Rhythm Authors",2019,117998
Changes,2pac ft. Talent,Greatest Hits,Hip Hop/Rap,DeepFriedDVD,1998,280357
When I'm Gone,3 Doors Down,Away from the Sun,Rock,Neversoft,2002,279306
When I'm Gone,3 Doors Down,Away from the Sun,Rock,Neversoft,2002,279306
Attack,30 Seconds to Mars,A Beautiful Lie,Alternative Rock,Neversoft,2006,192322
The Kill,30 Seconds to Mars,A Beautiful Lie,Modern Rock,Neversoft,2006,251120
Rescue Me,30 Seconds to Mars,America,rock,"Harmonix, Rhythm Authors",2018,193636
Breakout,3D Dot Game Heroes Original Soundtrack,3D Dot Game Heroes,Video Game Music,Delcatty16,2009,126015
What's Up?,4 Non Blondes,"Bigger, Better, Faster, More!",alternative,Unknown Charter,1992,300471
She Looks So Perfect,5 Seconds of Summer,5 Seconds of Summer,poprock,"Harmonix, Rhythm Authors",2014,209995
Jet Black Heart,5 Seconds of Summer,Sounds Good Feels Good,Emo,DeepFriedDVD,2015,245761
Youngblood,5 Seconds of Summer,Youngblood,poprock,"Harmonix, Rhythm Authors",2018,205984
In da Club,50 Cent,Get Rich or Die Tryin',Hip-Hop,Unknown Charter,2003,194011
Bonnie,500 Miles to Memphis,Blessed Be the Damned,punk,Unknown Charter,2019,254655
In My Chest,500 Miles to Memphis,Blessed Be the Damned,punk,Unknown Charter,2019,125781
Gummo,6IX9INE,Unknown Album,Hip Hop/Rap,DeepFriedDVD,2017,160259
BILLY,6IX9INE,Unknown Album,Hip Hop/Rap,DeepFriedDVD,2018,127152
KEKE,6IX9INE ft. Fetty Wap & A Boogie,Day65,Hip Hop/Rap,DeepFriedDVD,2018,161141
Wake Up,7evin7ins,Wake Up (Single),Punk Rock,Mickelräven,2022,175931
Inferno,9mm Parabellum Bullet,Inferno - Single,J-Rock,JRabes,2016,91708
Inferno,9mm Parabellum Bullet,Inferno - Single,J-Rock,JRabes,2016,91708
Look Back at It,A Boogie Wit Da Hoodie,Hoodie SZN,Hip Hop/Rap,DeepFriedDVD,2018,178513
DTB 4 Life,A Boogie Wit Da Hoodie,Artist 2.0,Pop Rock,DeepFriedDVD,2020,174949
Nonchalant,A Boogie Wit Da Hoodie ft. Alkaline,International Album,Hip Hop/Rap,DeepFriedDVD,2018,188824
Drowning,A Boogie wit da Hoodie ft. Kodak Black,The Bigger Artist,Hip Hop/Rap,DeepFriedDVD,2017,209304
Startender,A Boogie Wit Da Hoodie ft. Offset & Tyga,Hoodie SZN,Hip Hop/Rap,DeepFriedDVD,2018,192620
Ransom,A Boogie with a Hoodie,TBA,Hip Hop/Rap,DeepFriedDVD,2016,163814
Fast Forward to 2012,A Day to Remember,For Those Who Have Heart,Metalcore,StormEagle,2005,94122
NJ Legion Iced Tea,A Day to Remember,Homesick,Metalcore,Neversoft,2009,214942
The Downfall Of Us All,A Day To Remember,Homesick,Metalcore,Neversoft,2009,212288
2nd Sucks,A Day to Remember,What Separates Me from You,Pop Punk,Neversoft,2010,150429
All I Want,A Day To Remember,What Separates Me from You,Pop Punk,Neversoft,2010,205498
Right Back At It Again,A Day To Remember,Common Courtesy,Post Hardcore,Cerulean,2013,190298
Right Back At It Again,A Day To Remember,Common Courtesy,Post Hardcore,Cerulean,2013,190298
Paranoia,A Day to Remember,Bad Vibrations,punk,"Harmonix, Rhythm Authors",2016,205586
Mindreader,A Day to Remember,Live at The Audio Compound,punk,"Harmonix, Rhythm Authors",2021,177073
Resentment,A Day to Remember,Bad Vibrations,punk,"Harmonix, Rhythm Authors",2021,227146
Doesn't Count,A Life Divided,Passenger,Hard Rock,ThatAuthoringGroup,2011,274413
The Outsider,A Perfect Circle,Thirteenth Step,Alternative,Neversoft,2003,247799
Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm,Hip Hop,PotatoHandle,1990,237380
Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm,hiphoprap,Unknown Charter,1990,258893
When The Moon's Reaching Out Stars,川村ゆみ,ペルソナ3 オリジナル・サウンドトラック,Video Game OST,Antnee,2006,158037
Mamma Mia,ABBA,ABBA,Pop,Spachi,1975,214160
Mamma Mia,ABBA,ABBA,Pop,Spachi,1975,214160
Mamma Mia,ABBA,ABBA,poprock,Unknown Charter,1975,210381
Fernando,ABBA,Greatest Hits,Pop,GuitarZero132,1976,255282
Dancing Queen,ABBA,Arrival,Pop/Dance/Electronic,Four Neat Guys,1976,256266
"Money, Money, Money",ABBA,Arrival,poprock,Unknown Charter,1976,193212
"Money, Money, Money",ABBA,Arrival,Pop-Rock,Unknown Charter,1976,193212
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Greatest Hits Vol. 2,Disco,Raspberriel,1979,318411
Chiquitita,ABBA,Voulez-Vous,Pop,Raspberriel,1979,329888
Does Your Mother Know,ABBA,Voulez-Vous,poprock,Unknown Charter,1979,185666
Visions,Abnormality,Abnormality Demo,Metal,Harmonix,2007,178406
Back in Black (Live),AC/DC,Live,Classic Rock,Harmonix,1992,237451
Dirty Deeds Done Dirt Cheap (Live),AC/DC,Live,Classic Rock,Harmonix,1992,281285
Fire Your Guns (Live),AC/DC,Live,Classic Rock,Harmonix,1992,179866
For Those About to Rock (We Salute You) (Live),AC/DC,Live,Classic Rock,Harmonix,1992,395107
Heatseeker (Live),AC/DC,Live,Classic Rock,Harmonix,1992,213658
